Country,City,Latitude,Longitude
gr,karousades,39.7808333,19.7411111
br,tangua,-22.733333,-42.716667
mx,xico,19.416667,-97.0
hu,tomorkeny,46.617160999999996,20.043569
us,somers,41.9852778,-72.44666670000001
ua,poninka,50.184922,27.536289
hn,antigua ocotepeque,14.4,-89.2
in,vejalpur,22.683332999999998,73.56666700000001
es,verin,41.941548,-7.433917999999999
ph,santor,14.095491,121.108745
gb,prescot,53.416667000000004,-2.8
ph,idtig,6.798889,124.772778
ca,matagami,49.75,-77.633333
ro,victor vlad delamarina,45.640556,21.892778
us,barrington,41.74055560000001,-71.3091667
id,pameungpeuk,-6.669167,107.549722
jp,yoshii,36.25,138.98333300000002
ph,bukal,13.938056,121.38555600000001
us,apopka,28.6802778,-81.50972220000001
ph,seit,5.994904,121.212267
in,alur,12.983333,75.983333
ro,zimbor,47.0,23.266667
jp,obihiro,42.917221999999995,143.204444
mx,tlacoyalco,18.65,-97.583333
hn,la sarrosa,15.233333300000002,-87.83333329999999
tz,kitama,-10.7166667,39.7333333
br,orlandia,-20.716667,-47.883333
ph,curuan,7.2056759999999995,122.23304499999999
gb,gullane,56.033333,-2.816667
ru,chegem,43.283333,43.133333
sl,largo,8.2666667,-12.15
us,meridian,32.3641667,-88.70361109999999
hr,opatija,45.3391667,14.308333300000001
bo,santa rosa,-16.783333300000002,-61.8
ch,menziken,47.242487,8.19047
ru,vozrozhdeniye,52.6901,48.1879
it,alzano lombardo,45.733333,9.716667
ru,pyatovskiy,54.689080000000004,36.056338000000004
gr,mouzakion,37.7333333,20.8166667
pl,radlin,50.027632000000004,18.447699
us,west mifflin,40.3633333,-79.8666667
br,pacaembu,-21.566667000000002,-51.283333
ph,los angeles,9.0125,125.608056
co,sabaneta,6.15,-75.6
ru,bystrogorskiy,48.208134,41.140966999999996
kz,turkistan,43.333333,68.25
ht,saint-raphael,19.4333333,-72.2
se,orebro,59.283333,15.216667000000001
kz,kushmurun,52.450278000000004,64.631111
br,frei paulo,-10.55,-37.533333
it,noceto,44.8,10.183333
us,berea,41.366111100000005,-81.8544444
gh,sekondi,4.9333333,-1.7
br,formosa,-15.533332999999999,-47.333333
in,rayachoti,14.05,78.75
ro,sanislau,47.633333,22.333333
ru,russkiy aktash,55.0384,52.1214
ph,tamugan,7.2308330000000005,125.37638899999999
ro,loamnes,45.933333000000005,24.1
pe,matucana,-11.85,-76.4
fr,valenton,48.74527,2.4646689999999998
ie,roscrea,52.951111100000006,-7.8016667
la,luang prabang,19.885556,102.134722
cz,ustek,50.58494,14.345113000000001
mx,indaparapeo,19.783333,-100.966667
ru,brusyanskiy,53.984922,38.035934000000005
ru,korsakovo,53.267665,37.35689
it,orbetello,42.45,11.216667
us,menlo park,37.453888899999995,-122.18111110000001
fr,toulouse,43.599515999999994,1.433188
ru,zhirnovsk,50.984482,44.773474
rs,novi pazar,43.136666999999996,20.512222
in,badgam,34.016667,74.716667
in,daitari,21.1,85.75
af,kabul,34.516667,69.18333299999999
ph,bintakay,13.4986,121.8768
ro,scheia,46.933333000000005,27.516666999999998
pe,ramon castilla,-4.2569444,-69.9594444
us,charleston,39.4961111,-88.17611109999999
us,centennial,39.5791667,-104.8763889
ua,zarechye,48.521440000000005,24.64857
ki,bairiki,1.3166666999999999,172.9666667
ru,vad,55.530088,44.211366
us,youngstown,41.0997222,-80.64972220000001
py,itape,-25.85,-56.61666700000001
se,vasterhaninge,59.11666700000001,18.1
ro,curtisoara,44.5,24.333333
si,sempeter,45.9275,13.6411111
cz,rudolfov,48.989583,14.542241
in,basirhat,22.657222,88.89416700000001
ru,rasskazovo,52.655986,41.884609999999995
jp,kasaoka,34.5,133.5
al,gramsh,40.8697222,20.1844444
ph,inapatan,13.3964,123.3227
co,coello,4.289084,-74.898248
ro,corbu,44.383333,28.65
pl,pyrzyce,53.145647,14.892897
gb,margate,51.383333,1.416667
gp,gourbeyre,15.983333300000002,-61.6833333
ph,tomas oppus,10.250556,124.983056
fr,saint-claude,46.390153000000005,5.863737
ru,oyskhara,43.264016,46.248027
mx,aldama,20.816667000000002,-101.31666700000001
gr,petrokhorion,41.1166667,24.8333333
co,valparaiso,5.615003,-75.624218
it,albenga,44.05,8.216667
cz,domazlice,49.441403,12.925536
mx,tecoman,18.913889,-103.905556
br,cachoeirinha,-8.483333,-36.233333
rs,crvenka,45.658611,19.455556
iq,baghdad,33.3386111,44.39388889999999
gr,loutrakion,37.9833333,22.966666699999998
at,radstadt,47.383333,13.45
in,mahbubnagar,16.733333,77.983333
co,carmen de carupa,5.348619,-73.90168299999999
ee,karksi,58.103333299999996,25.562777800000003
ru,tymovskoye,50.845556,142.655
cn,laohekou,32.385833,111.667778
ro,darmanesti,47.733333,26.15
mx,teacalco,19.240278,-98.306944
in,gadag,15.416667000000002,75.616667
td,beboto,8.2666667,16.9333333
eg,suez,29.9666667,32.55
us,brunswick,43.914444399999994,-69.9658333
ro,pardosi,45.366667,26.9
fr,montesson,48.909238,2.137539
in,ara,25.566667000000002,84.666667
mx,ebano,22.216667,-98.383333
ph,san sebastian,13.7283,123.5939
nl,drimmelen,51.7,4.783333
cz,studenka,49.719889,18.074529000000002
cn,wufeng,27.45,104.833333
ca,maple creek,49.916667,-109.46666699999999
pl,pabianice,51.655351,19.345602
ph,malolos,14.841944,120.81166699999999
us,liberty,30.0577778,-94.7952778
in,chakia,26.416666999999997,85.05
us,terrytown,29.91,-90.0325
mx,jantetelco,18.7,-98.766667
no,hoyanger,61.216667,6.0833330000000005
pk,attock,33.892813000000004,72.240741
sd,kapoeta,4.7716667,33.5902778
gr,nea ionia,38.033333299999995,23.75
us,lathrop,37.8227778,-121.27555559999999
gt,san gabriel,14.516667000000002,-91.516667
br,curvelo,-18.75,-44.416667
hu,dunapataj,46.643997,18.996321
mu,congomah,-20.1488889,57.5908333
jp,fukuyama,34.483333,133.366667
jm,portmore,17.966666699999998,-76.8666667
be,charleroi,50.416667,4.433333
ro,albeni,45.033333,23.6
fr,noyon,49.583333,3.0
us,rio linda,38.6911111,-121.4475
cz,kraluv dvur,49.947837,14.038397
hu,ebes,47.466667,21.5
de,walsrode,52.86666700000001,9.6
co,san jose del palmar,4.974167,-76.22833299999999
am,byurakan,40.3413889,44.273611100000004
us,croydon,40.0872222,-74.90388890000001
at,worgl,47.483333,12.066667
in,beawar,26.1,74.31666700000001
cz,ludgerovice,49.884296,18.249405
ua,borzna,51.254645000000004,32.426901
pt,arrifana,40.915653000000006,-8.496569000000001
nl,heerhugowaard,52.663987,4.827289
ru,zheleznogorsk,52.331,35.3711
gt,samayac,14.583332999999998,-91.466667
us,wilbraham,42.123611100000005,-72.4319444
us,northglenn,39.8855556,-104.98666670000001
cn,jiaojiang,28.680278,121.442778
ph,hilotongan,11.144,123.6426
am,aygavan,39.8647222,44.6702778
ru,armavir,44.9892,41.1234
in,yerraguntla,14.633332999999999,78.533333
ph,taviran,7.123333000000001,124.319722
de,elsterwerda,51.45,13.533332999999999
ru,pokrovskoye,47.415701,38.897063
pe,san vicente de canete,-13.083333300000001,-76.4
es,atarfe,37.224321,-3.686515
ph,tinalmud,13.5941,122.87799999999999
ph,labuan,7.100747999999999,121.90238000000001
re,saint-denis,-20.8666667,55.466666700000005
ph,tudela,8.2472,123.8424
in,kakching,24.483333,93.983333
ru,olkhovka,49.857943,44.562052
us,shiloh,38.5613889,-89.8972222
ru,zhiletovo,54.692161,36.022248
us,kerrville,30.0472222,-99.14
fi,aanekoski,62.6,25.733333
ca,teeswater,43.983333,-81.283333
ba,sladna,44.7294444,18.424166699999997
eg,hurghada,27.238888899999996,33.836111100000004
us,astoria,46.188055600000006,-123.83
co,pasca,4.307222,-74.300556
in,satara,17.683332999999998,73.983333
ph,tablac,17.216667,120.483333
ro,rovinari,44.916667,23.183332999999998
in,viramgam,23.116667,72.033333
ro,bradeni,46.083333,24.833333
ru,urukh,43.293353,44.026472
pt,mealhada,40.378063,-8.449912
au,kempsey,-31.078978999999997,152.83093300000002
mx,mapastepec,15.433333,-92.9
es,arona,28.098519,-16.682201
cm,loum,4.7161111,9.746388900000001
fr,verdun,49.158146,5.3886080000000005
pl,kwidzyn,53.724949,18.931137
us,marietta,39.4152778,-81.455
ua,sartana,47.174357,37.692661
br,sao jose do belmonte,-7.866667,-38.766667
jp,tomakomai,42.636944,141.60333300000002
mx,camargo,26.25,-98.833333
jp,numata,36.633333,139.05
hu,halmaj,48.25,21.0
jp,narashino,35.683333000000005,140.033333
ie,westport,53.8,-9.516666699999998
us,layton,41.0602778,-111.97027779999999
tg,sokode,8.983333300000002,1.1333333
us,omaha,41.2586111,-95.9375
co,tenjo,4.872701,-74.144351
et,butajira,8.116667,38.366667
gr,afitos,40.1,23.4333333
be,welkenraedt,50.65,5.966667
de,bitburg,49.966667,6.533333
ro,bargaoani,46.983333,26.633333
ke,litein,-0.5833333,35.1833333
ph,patawag,8.106389,122.620833
ru,ozinki,51.1786,49.6769
fr,paris,48.866667,2.333333
ca,cochrane,49.066666999999995,-81.016667
gp,terre-de-bas,15.85,-61.6333333
ph,mangaldan,16.07,120.4025
gr,ayia paraskevi,40.4833333,23.05
ba,visoko,43.9888889,18.1780556
gr,petinos,41.1,24.9
tw,tanshui,25.1777778,121.44333329999999
ru,lutkun,41.480838,47.685779
ru,sokolniki,54.0246,38.4574
ro,suncuius,46.933333000000005,22.533333
ru,tupik,54.4253,119.9327
hu,zalalovo,46.848015999999994,16.587495999999998
us,burien,47.470555600000004,-122.34555559999998
rs,raska,43.287222,20.615278
us,highland park,40.4958333,-74.4247222
so,borama,9.933333300000001,43.1833333
fr,saint-avertin,47.363569,0.739933
jp,kamifukuoka,35.8725,139.509722
ru,skopin,53.824856000000004,39.550528
in,haliyal,15.333332999999998,74.766667
ca,oliver,49.183333000000005,-119.55
ru,shirokiy,63.11666700000001,147.95
ca,terrace,54.5,-128.583333
in,charkhari,25.4,79.75
us,north springfield,38.8041667,-77.205
de,schneverdingen,53.11666700000001,9.8
ru,vrangel,42.729721999999995,133.083889
ni,chinandega,12.616666699999998,-87.15
cz,uhersky brod,49.025539,17.646646
us,eatonton,33.326666700000004,-83.38861109999999
gr,plomarion,38.9766667,26.368055600000005
us,wausau,44.959166700000004,-89.63
es,ermua,43.1879,-2.5034970000000003
ro,certeze,47.9,23.466667
us,gaithersburg,39.1433333,-77.2016667
ru,korablino,53.916389,40.013333
ph,oaqui,16.8512,120.4102
ro,viisoara,48.166667,26.733333000000002
in,radhanpur,23.833333,71.6
us,maricao,18.182777800000004,-66.9802778
am,argel,40.3794444,44.599444399999996
ru,staraya poltavka,50.477148,46.481443
ug,soroti,1.6855556,33.6163889
ru,novochernorechenskiy,56.2652,91.0892
bg,belogradcik,43.6272222,22.6836111
ro,valea vinului,47.716667,23.183332999999998
tr,carsamba,41.198889,36.721944
ro,geaca,46.866667,24.1
us,saint charles,41.9141667,-88.3086111
ru,inskoy,54.4297,86.44
at,baden,48.016667,16.233333
ph,munai,7.975833000000001,124.06361100000001
br,moreira sales,-24.016667,-53.05
lt,vieksniai,56.2333333,22.5166667
in,sherghati,24.566667000000002,84.783333
al,kelcyre,40.313055600000006,20.1894444
ro,fantanele,46.416667,24.75
ru,murmino,54.6043,40.0549
mx,cuetzalan,20.033333,-97.516667
tz,chanika,-5.4166667,38.0166667
us,lewisville,33.046111100000005,-96.9938889
in,satwas,22.533333,76.68333299999999
am,nshavan,40.02638889999999,44.5252778
ru,ryazhsk,53.7038,40.1109
ua,lozova,48.889369,36.317546
am,zorak,40.0925,44.39194439999999
ro,raucesti,47.25,26.416666999999997
dz,sidi ali,36.10055560000001,0.42
mx,sabinas,27.85,-101.116667
in,talaja,21.35,72.05
ru,ansalta,42.689409999999995,46.117819
ph,unzad,15.918889000000002,120.53916699999999
ru,almaznyy,62.449167,114.32777800000001
gt,san jose,13.925556,-90.824444
hu,balastya,46.422771999999995,20.008157999999998
ru,tikhmenevo,49.2,142.9
us,hoquiam,46.98111110000001,-123.88805559999999
ru,kanadey,53.167857999999995,47.526436
cn,suileng,47.166667,127.3
gr,aiyinion,40.501388899999995,22.54
ru,markha,62.105278000000006,129.726944
tz,mkokotoni,-5.866666700000001,39.25
in,chhatarpur,24.9,79.6
br,sao jose dos campos,-23.183332999999998,-45.883333
th,ban pong,13.816292,99.877392
us,lebanon,36.2080556,-86.2911111
bt,mongar,27.25,91.2
in,firozpur,30.916666999999997,74.6
ru,shalinskoye,55.7194,93.7589
az,qovlar,40.942137,45.732171
cz,neveklov,49.751765,14.544804999999998
gr,tolon,37.5166667,22.85
co,espinal,4.149245,-74.884292
ee,tostamaa,58.3325,23.999722199999997
am,voskevaz,40.2797222,44.295
ru,lomonosov,59.906121,29.772528
th,nakhon luang,14.462807000000002,100.608315
br,porto real,-22.4172,-44.2861
ph,santa cruz,15.3079,120.8517
ph,maputi,8.449722,124.29055600000001
fr,reze,47.181441,-1.549654
pl,aleksandrow lodzki,51.81773,19.300709
na,henties bay,-22.1166667,14.2833333
td,guelengdeng,10.933333300000001,15.5333333
ua,borova,49.377695,37.621363
ru,krivodanovka,55.0881,82.6551
ru,kislovodsk,43.913333,42.720833
mg,manakara,-22.1333333,48.0166667
co,cisneros,6.538333000000001,-75.088611
br,pedro velho,-6.433333,-35.233333
be,farciennes,50.433333000000005,4.55
no,ulvik,60.566667,6.9
us,pekin,40.5675,-89.6405556
in,gandhidham,23.083333,70.133333
se,vaxjo,56.88333299999999,14.816667
ph,taytayan,10.8787,123.9771
al,cerrik,41.0316667,19.9758333
gr,paralion astros,37.4166667,22.7666667
ru,ulukulevo,54.4355,56.3221
ru,murino,60.049441,30.445874
it,margherita di savoia,41.366667,16.15
co,tame,6.460995,-71.73004300000001
at,fohnsdorf,47.2,14.683333
gb,keith,57.533333,-2.933333
mx,san francisco del rincon,21.016667,-101.85
ru,znamenskoye,43.678975,45.128674
in,bhayavadar,21.85,70.25
ro,pietroasele,45.1,26.566667
ru,kalya,60.241025,59.989847
pl,busko-zdroj,50.466667,20.716667
us,el cajon,32.7947222,-116.96166670000001
th,pattani,6.8749,101.254851
ru,sabnova,42.076173,48.247956
ro,bordei verde,45.083333,27.566667
us,gulf gate estates,27.2591667,-82.5069444
mx,nautla,20.216667,-96.783333
br,mandaguacu,-23.333333,-52.083333
mx,calixtlahuaca,19.334167,-99.69111099999999
tr,cay,38.591667,31.028610999999998
ph,bobon,12.5246,124.5636
td,bol,7.6666667,15.916666699999999
ua,rokosovo,48.210178000000006,23.176242000000002
br,aurora,-6.95,-38.966667
il,jerusalem,31.78,35.23
do,bayaguana,18.75,-69.6333333
us,pine hills,28.5575,-81.45361109999999
mx,tlalixtac,17.066667000000002,-96.65
jp,hofu,34.05,131.566667
ch,oberriet,47.319883000000004,9.566079
il,bene beraq,32.090278000000005,34.839721999999995
ro,lipnita,44.1,27.6
gr,terpni,40.9166667,23.4833333
hu,ercsi,47.251944,18.89623
cn,changchun,43.88,125.322778
br,barro,-6.716667,-38.866667
us,newington,41.6977778,-72.7241667
ru,belgatoy,42.983658,46.233971000000004
gb,ballater,57.05,-3.05
cm,mokolo,10.740277800000001,13.802777800000001
si,koper,45.546944399999994,13.729444400000002
ph,sandayong,10.495833,123.99888899999999
ro,jijila,45.3,28.15
cn,honghu,29.816667,113.46666699999999
br,juruti,-2.166667,-56.066667
br,aparecida,-22.8418,-45.2287
gb,pittenweem,56.2,-2.733333
us,rancho palos verdes,33.7444444,-118.38611110000001
pk,peshawar,34.008,71.57848800000001
co,yarumal,6.8902779999999995,-75.670833
fr,longwy,49.519364,5.768815
gr,komnina,40.6,21.783333300000002
br,passo de camaragibe,-9.25,-35.433333000000005
ie,dunboyne,53.4,-6.4666667
us,pulaski,37.0477778,-80.78
ua,pervomaysk,48.044331,30.850728999999998
jp,hirado,33.359722,129.553056
us,hooksett,43.0966667,-71.4655556
us,east hampton,41.5758333,-72.5030556
ru,karpogory,64.00189300000001,44.445128000000004
in,pachperwa,27.516666999999998,82.65
in,kombai,9.833333,77.31666700000001
cn,chaohu,31.6,117.86666699999999
ru,kharovsk,59.964247,40.19121
ro,varvoru,44.233333,23.633333
au,caloundra,-26.797090999999998,153.13771100000002
ru,aykino,62.224807999999996,49.992218
in,bhatapara,21.733333,81.93333299999999
th,phra phutthabat,14.725264000000001,100.79536
zw,rusape,-18.533333300000002,32.1166667
ec,salinas,-2.2166667,-80.9666667
th,si bun ruang,16.966667,102.283333
ph,san roque,10.6043,123.7441
ru,putevka,53.25833299999999,34.287778
us,issaquah,47.5302778,-122.0313889
it,tempio pausania,40.9,9.1
pe,chosica,-11.9430556,-76.7094444
nl,tiel,51.889251,5.442648999999999
hu,buk,47.384859999999996,16.750654
us,sunbury,40.8625,-76.79472220000001
ph,dumalag,11.308,122.6236
hn,el balsamo,15.066666699999999,-87.4666667
bg,stara zagora,42.4327778,25.6419444
es,sant just desvern,41.383333,2.083333
ua,ichnya,50.862576000000004,32.394253000000006
pa,boca de parita,8.0166667,-80.45
au,mildura,-34.185509,142.162506
it,grumo appula,41.016667,16.7
id,bandung,-6.9038889999999995,107.61861100000002
cz,havlickuv brod,49.614082,15.564557999999998
il,iksal,32.68164,35.323646000000004
pk,samaro,25.281473000000002,69.396541
ua,yerky,48.990617,30.988184000000004
fr,rumilly,45.868733,5.936522
in,gudalur,11.75,79.75
pa,puerto pilon,9.3644444,-79.7933333
ro,pietrosani,43.716667,25.633333
ml,mopti,14.5,-4.2
cz,rapotin,49.983333,17.016667
do,maimon,19.8,-70.7833333
us,santa clara,37.3541667,-121.95416670000002
in,arumbavur,11.383333,78.733333
jp,mombetsu,44.3525,143.3525
hn,la trinidad,15.1,-87.2
ba,kacuni,44.065,17.9386111
jp,hasaki,35.733333,140.833333
fr,thiers,45.858139,3.556275
ru,rudnogorsk,57.2639,103.7519
ca,melville,50.933333000000005,-102.8
fr,mouvaux,50.699435,3.134292
us,central falls,41.890555600000006,-71.39277779999999
gb,salisbury,51.066666999999995,-1.7833330000000003
in,saidpur,28.616667,77.916667
dk,taulov,55.536919,9.609314
us,north new hyde park,40.743055600000005,-73.6936111
hn,teguajinal,15.366666699999998,-86.6
de,titisee-neustadt,47.9,8.166667
hn,san ignacio,14.65,-87.0333333
cn,zaozhuang,34.864722,117.55416699999999
de,recklinghausen,51.616667,7.2
ph,monreal,12.644,123.6648
cu,perico,22.7691667,-81.01888890000001
us,north providence,41.85,-71.4666667
ph,pangpang,12.5692,125.074
in,yairipok,24.666667,94.06666700000001
ro,balta alba,45.316666999999995,27.283333000000002
mx,cueramaro,20.616667,-101.716667
it,favara,37.316666999999995,13.65
cu,guane,22.2025,-84.0875
ru,kyzyl-mazhalyk,51.133333,90.6
us,normal,40.514166700000004,-88.9905556
ru,sortavala,61.705323,30.691781
pt,ribeira grande,38.516667,-28.7
rs,sremska mitrovica,44.976389000000005,19.612222
ua,zdolbuniv,50.520599,26.242513
cz,moravska trebova,49.755711,16.657149
fo,argir,61.9833333,-6.75
in,hiriyur,13.945556,76.619167
gb,rosehearty,57.683333,-2.1166669999999996
bo,puerto pailas,-17.65,-62.8
us,oak forest,41.6027778,-87.7438889
so,jilib,0.4958333,42.7727778
mx,muna,20.483333,-89.716667
ru,rostov-na-donu,47.23135,39.723284
ph,joson,15.949000000000002,120.9778
vn,long xuyen,10.383333,105.41666699999999
br,saquarema,-22.933332999999998,-42.5
pk,nawabshah,26.248334000000003,68.409554
tw,luchou,25.0830556,121.47
ru,kostroma,57.766468,40.926864
de,biblis,49.691666999999995,8.458611
